reference_area,counterpart_area,TIME_PERIOD,OBS_VALUE
Argentina,Australia,1997,35.5
Argentina,Australia,1998,29.3
Argentina,Australia,1999,37.50000000000001
Argentina,Australia,2000,35.4
Argentina,Australia,2001,49.8
Argentina,Australia,2002,70.4
Argentina,Australia,2003,88.7
Argentina,Australia,2004,97.7
Argentina,Australia,2005,114.8
Argentina,Australia,2006,79.0
Argentina,Australia,2007,104.39999999999999
Argentina,Australia,2008,165.6
Argentina,Australia,2009,136.8
Argentina,Australia,2010,151.7
Argentina,Australia,2011,292.7
Argentina,Australia,2012,411.3
Argentina,Australia,2013,383.9
Argentina,Australia,2014,286.3
Argentina,Australia,2015,233.2
Argentina,Australia,2016,233.2
Argentina,Australia,2017,164.4
Argentina,Australia,2018,129.7
Argentina,Australia,2019,92.5
Argentina,Australia,2020,82.0
Argentina,Austria,1997,8.2
Argentina,Austria,1998,7.8
Argentina,Austria,1999,7.0
Argentina,Austria,2000,7.1
Argentina,Austria,2001,8.3
Argentina,Austria,2002,25.400000000000002
Argentina,Austria,2003,11.0
Argentina,Austria,2004,12.1
Argentina,Austria,2005,12.4
Argentina,Austria,2006,17.1
Argentina,Austria,2007,79.5
Argentina,Austria,2008,91.9
Argentina,Austria,2009,75.4
Argentina,Austria,2010,82.4
Argentina,Austria,2011,108.6
Argentina,Austria,2012,93.7
Argentina,Austria,2013,64.39999999999999
Argentina,Austria,2014,81.0
Argentina,Austria,2015,68.2
Argentina,Austria,2016,50.5
Argentina,Austria,2017,47.6
Argentina,Austria,2018,37.5
Argentina,Austria,2019,29.2
Argentina,Austria,2020,20.4
Argentina,Bangladesh,1997,16.9
Argentina,Bangladesh,1998,5.6
Argentina,Bangladesh,1999,22.0
Argentina,Bangladesh,2000,30.3
Argentina,Bangladesh,2001,15.1
Argentina,Bangladesh,2002,11.1
Argentina,Bangladesh,2003,13.6
Argentina,Bangladesh,2004,15.6
Argentina,Bangladesh,2005,72.0
Argentina,Bangladesh,2006,50.2
Argentina,Bangladesh,2007,55.2
Argentina,Bangladesh,2008,52.3
Argentina,Bangladesh,2009,31.099999999999998
Argentina,Bangladesh,2010,12.7
Argentina,Bangladesh,2011,59.4
Argentina,Bangladesh,2012,32.800000000000004
Argentina,Bangladesh,2013,111.4
Argentina,Bangladesh,2014,114.89999999999999
Argentina,Bangladesh,2015,65.0
Argentina,Bangladesh,2016,109.10000000000001
Argentina,Bangladesh,2017,117.1
Argentina,Bangladesh,2018,128.6
Argentina,Bangladesh,2019,142.4
Argentina,Bangladesh,2020,159.4
Argentina,Belarus,1997,26.8
Argentina,Belarus,1998,2.1
Argentina,Belarus,1999,2.0
Argentina,Belarus,2000,1.8
Argentina,Belarus,2001,1.4
Argentina,Belarus,2002,0.6000000000000001
Argentina,Belarus,2003,1.0
Argentina,Belarus,2004,1.2999999999999998
Argentina,Belarus,2005,2.7
Argentina,Belarus,2006,5.3999999999999995
Argentina,Belarus,2007,7.0
Argentina,Belarus,2008,5.7
Argentina,Belarus,2009,11.1
Argentina,Belarus,2010,9.9
Argentina,Belarus,2011,8.1
Argentina,Belarus,2012,8.3
Argentina,Belarus,2013,7.5
Argentina,Belarus,2014,4.6
Argentina,Belarus,2015,6.199999999999999
Argentina,Belarus,2016,6.1
Argentina,Belarus,2017,5.1
Argentina,Belarus,2018,6.199999999999999
Argentina,Belarus,2019,5.0
Argentina,Belarus,2020,4.3
Argentina,Belgium,1997,58.2
Argentina,Belgium,1998,49.2
Argentina,Belgium,1999,63.6
Argentina,Belgium,2000,71.0
Argentina,Belgium,2001,65.7
Argentina,Belgium,2002,74.2
Argentina,Belgium,2003,80.8
Argentina,Belgium,2004,77.0
Argentina,Belgium,2005,110.4
Argentina,Belgium,2006,96.80000000000001
